YearBuilt,Elevators,Area,Manager,Floor,APT,FacilitiesNearBy(PublicOffice),FacilitiesNearBy(Mall),FacilitiesNearBy(Hospital),FacilitiesNearBy(Park),FacilitiesNearBy(DepartmentStore),FacilitiesInApt,Parkinglot(Ground),Parkinglot(Basement),TimeToBusStop,TimeToSubway,SchoolNearBy(Elementary),SchoolNearBy(High),SchoolNearBy(Middle),SchoolNearBy(University),SalePrice
2014,12,1252,5,12,5,,,,,,1,467,23,20,19,,,,,44692
2014,2,843,7,27,1,7,1,1,,,9,9,1174,22,9,4,5,3,5,325663
2005,,743,6,5,8,5,1,2,,,7,67,798,15,26,3,4,4,4,235398
1992,1,355,5,13,3,7,1,1,1,1,3,2,,11,9,4,5,3,5,79646
1992,8,644,4,8,3,5,1,1,,1,3,142,79,7,21,3,4,3,4,159292
1992,1,64,5,1,3,7,1,1,1,1,3,2,,1,15,4,5,3,5,119469
2014,12,914,5,26,5,,,,,,1,467,23,19,20,,,,,367256
2014,12,914,5,4,5,,,,,,1,467,23,26,20,,,,,362831
2014,2,846,7,24,1,7,1,1,,,9,9,1174,18,23,4,5,3,5,314159
2005,,743,6,19,8,5,1,2,,,7,67,798,2,23,3,4,4,4,245575
2005,,572,6,11,8,5,1,2,,,7,67,798,10,8,3,4,4,4,26637
2007,1,914,5,31,3,2,2,2,1,2,4,554,524,12,15,2,2,2,2,28761
2014,12,914,5,27,5,,,,,,1,467,23,24,26,,,,,371681
2007,1,1394,5,5,3,2,2,2,1,2,4,554,524,24,22,2,2,2,2,374336
2014,2,644,7,15,1,7,1,1,,,9,9,1174,4,28,4,5,3,5,255752
2014,2,1291,7,2,1,7,1,1,,,9,9,1174,13,11,4,5,3,5,42923
1992,1,576,5,5,3,7,1,1,1,1,3,2,,3,11,4,5,3,5,119469
2005,,572,6,2,8,5,1,2,,,7,67,798,29,2,3,4,4,4,27964
2014,2,64,7,2,1,7,1,1,,,9,9,1174,18,14,4,5,3,5,244247
2014,2,64,7,6,1,7,1,1,,,9,9,1174,22,10,4,5,3,5,252212
1993,2,644,8,3,8,6,1,2,,,4,523,536,26,10,4,5,3,5,168141
2014,12,914,5,2,5,,,,,,1,467,23,30,15,,,,,344247
1993,2,644,8,11,8,6,1,2,,,4,523,536,5,8,4,5,3,5,172566
2014,2,914,7,9,1,7,1,1,,,9,9,1174,14,21,4,5,3,5,32923
2014,2,64,7,14,1,7,1,1,,,9,9,1174,28,20,4,5,3,5,247787
2005,,743,6,9,8,5,1,2,,,7,67,798,4,10,3,4,4,4,242477
2014,2,914,7,18,1,7,1,1,,,9,9,1174,29,12,4,5,3,5,3388
1992,1,576,5,14,3,7,1,1,1,1,3,2,,17,22,4,5,3,5,119469
2007,16,1519,14,28,7,3,1,1,2,2,1,,127,27,20,3,2,3,2,53973
2007,16,868,14,15,7,3,1,1,2,2,1,,127,16,0,3,2,3,2,39734
2007,16,1643,14,41,7,3,1,1,2,2,1,,127,26,0,3,2,3,2,52923
2007,16,868,14,12,7,3,1,1,2,2,1,,127,22,16,3,2,3,2,326548
2007,16,1387,14,2,7,3,1,1,2,2,1,,127,30,20,3,2,3,2,43853
2007,16,868,14,7,7,3,1,1,2,2,1,,127,12,22,3,2,3,2,331858
2009,5,91,2,7,1,2,,1,1,,5,25,23,3,25,2,1,1,1,273893
2013,14,97,6,15,7,5,1,1,1,1,7,8,93,7,13,4,2,2,3,352212
2006,,91,3,2,3,2,1,1,,1,5,111,184,12,27,3,2,2,2,34424
1985,2,587,2,5,1,5,1,1,1,2,3,8,76,0,8,2,1,1,,1238
2014,,135,4,19,1,4,,1,,,1,,218,4,10,,,,1,54867
2014,,16,4,19,1,4,,1,,,1,,218,23,23,,,,1,6176
2014,,135,4,14,1,4,,1,,,1,,218,0,23,,,,1,55752
2014,2,64,7,17,1,7,1,1,,,9,9,1174,15,18,4,5,3,5,238938
1993,2,914,8,19,8,6,1,2,,,4,523,536,1,21,4,5,3,5,2388
2005,,1184,6,13,8,5,1,2,,,7,67,798,30,29,3,4,4,4,3238
2014,,288,3,12,1,3,1,1,1,2,2,11,18,28,12,2,2,2,2,1847
2014,2,1291,7,8,1,7,1,1,,,9,9,1174,1,10,4,5,3,5,46461
2014,2,91,7,27,1,7,1,1,,,9,9,1174,25,21,4,5,3,5,333628
2008,14,829,6,18,6,3,1,1,1,1,8,197,475,18,10,2,2,3,2,28761
2014,2,914,7,6,1,7,1,1,,,9,9,1174,8,4,4,5,3,5,326548
2014,2,914,7,8,1,7,1,1,,,9,9,1174,26,2,4,5,3,5,332743
2014,2,64,7,5,1,7,1,1,,,9,9,1174,8,15,4,5,3,5,24265
2014,12,914,5,26,5,,,,,,1,467,23,7,2,,,,,362831
2005,,743,6,2,8,5,1,2,,,7,67,798,0,18,3,4,4,4,224336
1993,2,644,8,19,8,6,1,2,,,4,523,536,16,5,4,5,3,5,176991
2008,14,914,6,11,6,3,1,1,1,1,8,197,475,28,18,2,2,3,2,318584
2014,2,644,7,7,1,7,1,1,,,9,9,1174,19,2,4,5,3,5,247787
1993,2,644,8,1,8,6,1,2,,,4,523,536,15,10,4,5,3,5,168141
2007,1,113,5,8,3,2,2,2,1,2,4,554,524,26,14,2,2,2,2,327433
2014,2,91,7,9,1,7,1,1,,,9,9,1174,10,6,4,5,3,5,34617
2007,1,1394,5,2,3,2,2,2,1,2,4,554,524,30,29,2,2,2,2,371681
2005,,572,6,4,8,5,1,2,,,7,67,798,24,1,3,4,4,4,19692
2014,2,64,7,7,1,7,1,1,,,9,9,1174,17,4,4,5,3,5,24235
2005,,914,6,7,8,5,1,2,,,7,67,798,10,21,3,4,4,4,269911
2014,12,914,5,13,5,,,,,,1,467,23,3,24,,,,,343362
2005,,572,6,19,8,5,1,2,,,7,67,798,8,10,3,4,4,4,21619
2014,2,64,7,21,1,7,1,1,,,9,9,1174,29,0,4,5,3,5,262831
2005,,914,6,16,8,5,1,2,,,7,67,798,4,16,3,4,4,4,277876
2014,2,644,7,17,1,7,1,1,,,9,9,1174,20,4,4,5,3,5,262831
2014,2,64,7,3,1,7,1,1,,,9,9,1174,25,29,4,5,3,5,241592
2014,2,64,7,7,1,7,1,1,,,9,9,1174,30,26,4,5,3,5,256637
1992,1,64,5,1,3,7,1,1,1,1,3,2,,30,8,4,5,3,5,119469
2014,2,91,7,23,1,7,1,1,,,9,9,1174,22,12,4,5,3,5,343362
2015,1,644,5,13,6,3,1,2,,1,7,12,4,3,29,3,3,3,2,19115
2007,16,868,14,5,7,3,1,1,2,2,1,,127,19,13,3,2,3,2,33973
1978,4,93,1,11,2,3,1,2,,1,3,87,,5,16,3,3,3,2,221238
2007,16,1387,14,21,7,3,1,1,2,2,1,,127,18,21,3,2,3,2,44692
2006,11,93,3,1,3,3,1,1,,1,4,123,181,11,27,4,3,3,1,265486
2007,16,1387,14,6,7,3,1,1,2,2,1,,127,3,3,3,2,3,2,427876
1986,27,1131,8,8,7,5,,1,1,1,4,713,,24,0,3,1,1,1,265486
1978,4,93,1,1,2,3,1,2,,1,3,87,,10,29,3,3,3,2,218584
2006,11,857,3,11,3,3,1,1,,1,4,123,181,30,20,4,3,3,1,256637
2015,1,832,5,19,6,3,1,2,,1,7,12,4,30,24,3,3,3,2,33539
1986,27,1131,8,7,7,5,,1,1,1,4,713,,27,7,3,1,1,1,269911
1997,4,43,2,5,1,7,1,1,1,2,5,82,56,12,13,4,,,3,16194
2009,5,91,2,1,1,2,,1,1,,5,25,23,18,7,2,1,1,1,283185
2009,5,91,2,3,1,2,,1,1,,5,25,23,23,23,2,1,1,1,25847
2013,14,97,6,28,7,5,1,1,1,1,7,8,93,19,8,4,2,2,3,35847
2013,14,91,6,9,7,5,1,1,1,1,7,8,93,1,10,4,2,2,3,35847
2013,14,91,6,7,7,5,1,1,1,1,7,8,93,8,1,4,2,2,3,366371
2006,,636,3,6,3,2,1,1,,1,5,111,184,2,18,3,2,2,2,243362
2014,,156,4,17,1,4,,1,,,1,,218,9,23,,,,1,59911
2014,,135,4,13,1,4,,1,,,1,,218,4,16,,,,1,55663
2007,5,169,5,1,2,4,1,1,1,2,5,7,65,21,21,2,1,1,1,46461
2007,5,1273,5,7,2,4,1,1,1,2,5,7,65,29,9,2,1,1,1,371681
2006,11,818,5,24,6,1,1,1,,,5,249,536,21,1,2,1,2,2,274336
2015,24,644,8,18,13,1,1,1,1,2,1,175,1321,4,22,2,1,1,1,29235
1993,2,644,8,21,8,6,1,2,,,4,523,536,24,13,4,5,3,5,181415
2014,2,64,7,9,1,7,1,1,,,9,9,1174,26,23,4,5,3,5,243362
2005,,743,6,3,8,5,1,2,,,7,67,798,8,14,3,4,4,4,236283
2014,2,914,7,9,1,7,1,1,,,9,9,1174,12,18,4,5,3,5,33853
2014,2,914,7,21,1,7,1,1,,,9,9,1174,13,2,4,5,3,5,345132
2014,2,914,7,11,1,7,1,1,,,9,9,1174,8,0,4,5,3,5,3477
2014,2,192,7,21,1,7,1,1,,,9,9,1174,14,8,4,5,3,5,414159
1992,1,355,5,1,3,7,1,1,1,1,3,2,,22,4,4,5,3,5,65486
2014,12,914,5,6,5,,,,,,1,467,23,21,27,,,,,342477
2014,2,846,7,2,1,7,1,1,,,9,9,1174,20,23,4,5,3,5,284955
2014,12,914,5,7,5,,,,,,1,467,23,11,8,,,,,3477
1993,2,1761,8,21,8,6,1,2,,,4,523,536,1,18,4,5,3,5,352212
1993,2,644,8,8,8,6,1,2,,,4,523,536,25,19,4,5,3,5,179646
2014,12,914,5,18,5,,,,,,1,467,23,29,2,,,,,36161
2014,2,91,7,3,1,7,1,1,,,9,9,1174,1,27,4,5,3,5,39734
1992,1,576,5,7,3,7,1,1,1,1,3,2,,9,2,4,5,3,5,119469
2014,2,644,7,9,1,7,1,1,,,9,9,1174,2,4,4,5,3,5,265486
2008,14,829,6,2,6,3,1,1,1,1,8,197,475,5,9,2,2,3,2,265486
1992,1,64,5,1,3,7,1,1,1,1,3,2,,13,26,4,5,3,5,12923
1992,1,576,5,4,3,7,1,1,1,1,3,2,,5,19,4,5,3,5,125221
2014,2,97,7,29,1,7,1,1,,,9,9,1174,13,25,4,5,3,5,336283
1992,1,355,5,6,3,7,1,1,1,1,3,2,,1,26,4,5,3,5,81415
2008,14,1167,6,18,6,3,1,1,1,1,8,197,475,9,3,2,2,3,2,3853
2014,12,914,5,4,5,,,,,,1,467,23,8,2,,,,,367256
2014,2,846,7,29,1,7,1,1,,,9,9,1174,16,14,4,5,3,5,321238
2005,,914,6,23,8,5,1,2,,,7,67,798,28,22,3,4,4,4,2853
2014,2,914,7,3,1,7,1,1,,,9,9,1174,16,16,4,5,3,5,39292
2014,2,64,7,7,1,7,1,1,,,9,9,1174,26,22,4,5,3,5,259292
2006,11,93,3,3,3,3,1,1,,1,4,123,181,7,16,4,3,3,1,252654
2007,16,1387,14,9,7,3,1,1,2,2,1,,127,12,17,3,2,3,2,43853
2007,16,868,14,13,7,3,1,1,2,2,1,,127,24,1,3,2,3,2,3477
2007,16,868,14,12,7,3,1,1,2,2,1,,127,12,15,3,2,3,2,339823
1986,27,1377,8,1,7,5,,1,1,1,4,713,,21,29,3,1,1,1,353982
2007,16,868,14,5,7,3,1,1,2,2,1,,127,28,9,3,2,3,2,331858
2007,16,1519,14,25,7,3,1,1,2,2,1,,127,15,27,3,2,3,2,526548
2007,16,868,14,17,7,3,1,1,2,2,1,,127,30,17,3,2,3,2,331858
2007,16,1643,14,17,7,3,1,1,2,2,1,,127,14,14,3,2,3,2,46926
2007,16,1643,14,28,7,3,1,1,2,2,1,,127,18,3,3,2,3,2,46926
1986,27,1131,8,5,7,5,,1,1,1,4,713,,14,15,3,1,1,1,274336
1986,27,1377,8,2,7,5,,1,1,1,4,713,,6,22,3,1,1,1,3779
2009,5,116,2,13,1,2,,1,1,,5,25,23,28,29,2,1,1,1,36161
2013,14,91,6,18,7,5,1,1,1,1,7,8,93,14,5,4,2,2,3,353982
2003,4,97,2,4,1,7,1,1,1,2,5,82,56,24,5,4,,,3,171681
2006,,91,3,15,3,2,1,1,,1,5,111,184,7,7,3,2,2,2,318584
2006,,91,3,7,3,2,1,1,,1,5,111,184,17,4,3,2,2,2,29646
1985,2,587,2,8,1,5,1,1,1,2,3,8,76,6,4,2,1,1,,131415
2006,11,256,5,11,6,1,1,1,,,5,249,536,18,16,2,1,2,2,486725
2006,11,1412,5,18,6,1,1,1,,,5,249,536,7,27,2,1,2,2,442477
2006,11,256,5,9,6,1,1,1,,,5,249,536,20,25,2,1,2,2,46176
2006,11,1437,5,21,6,1,1,1,,,5,249,536,22,27,2,1,2,2,424778
2006,11,818,5,16,6,1,1,1,,,5,249,536,16,5,2,1,2,2,283185
1993,2,644,8,13,8,6,1,2,,,4,523,536,10,7,4,5,3,5,16926
2014,2,64,7,29,1,7,1,1,,,9,9,1174,27,8,4,5,3,5,25442
1993,2,914,8,4,8,6,1,2,,,4,523,536,8,15,4,5,3,5,236725
2014,12,1252,5,6,5,,,,,,1,467,23,13,16,,,,,451327
2014,12,914,5,5,5,,,,,,1,467,23,6,20,,,,,349557
2005,,743,6,1,8,5,1,2,,,7,67,798,26,20,3,4,4,4,243362
2014,2,914,7,1,1,7,1,1,,,9,9,1174,22,9,4,5,3,5,344247
2014,2,91,7,5,1,7,1,1,,,9,9,1174,30,2,4,5,3,5,334955
2014,2,97,7,6,1,7,1,1,,,9,9,1174,9,10,4,5,3,5,317699
2005,,572,6,11,8,5,1,2,,,7,67,798,19,26,3,4,4,4,26637
2014,12,914,5,15,5,,,,,,1,467,23,11,22,,,,,378761
2014,2,91,7,15,1,7,1,1,,,9,9,1174,4,28,4,5,3,5,353982
2014,2,914,7,26,1,7,1,1,,,9,9,1174,0,24,4,5,3,5,345132
2005,,572,6,5,8,5,1,2,,,7,67,798,4,17,3,4,4,4,2779
2014,2,192,7,22,1,7,1,1,,,9,9,1174,21,23,4,5,3,5,415929
2008,14,829,6,13,6,3,1,1,1,1,8,197,475,25,0,2,2,3,2,29235
2008,14,914,6,19,6,3,1,1,1,1,8,197,475,15,15,2,2,3,2,318584
2014,2,644,7,13,1,7,1,1,,,9,9,1174,19,10,4,5,3,5,272566
1993,2,644,8,16,8,6,1,2,,,4,523,536,25,4,4,5,3,5,171681
1993,2,644,8,19,8,6,1,2,,,4,523,536,5,24,4,5,3,5,172566
2007,1,1394,5,12,3,2,2,2,1,2,4,554,524,16,8,2,2,2,2,37616
2014,2,843,7,9,1,7,1,1,,,9,9,1174,7,17,4,5,3,5,31544
2014,,288,3,13,1,3,1,1,1,2,2,11,18,12,3,2,2,2,2,18849
2005,,914,6,21,8,5,1,2,,,7,67,798,28,9,3,4,4,4,265486
2005,,914,6,12,8,5,1,2,,,7,67,798,12,2,3,4,4,4,276991
2014,2,914,7,15,1,7,1,1,,,9,9,1174,15,1,4,5,3,5,345132
2005,,914,6,22,8,5,1,2,,,7,67,798,4,18,3,4,4,4,283185
2005,,914,6,12,8,5,1,2,,,7,67,798,14,28,3,4,4,4,272566
2014,2,644,7,3,1,7,1,1,,,9,9,1174,20,2,4,5,3,5,26461
2014,2,91,7,21,1,7,1,1,,,9,9,1174,19,18,4,5,3,5,349557
2008,14,1167,6,18,6,3,1,1,1,1,8,197,475,6,28,2,2,3,2,383185
1993,2,644,8,3,8,6,1,2,,,4,523,536,0,6,4,5,3,5,172566
2014,,288,3,1,1,3,1,1,1,2,2,11,18,14,20,2,2,2,2,1779
1993,2,914,8,1,8,6,1,2,,,4,523,536,17,16,4,5,3,5,212389
2014,12,914,5,19,5,,,,,,1,467,23,7,1,,,,,35847
2008,14,914,6,8,6,3,1,1,1,1,8,197,475,21,13,2,2,3,2,326548
2007,16,1387,14,3,7,3,1,1,2,2,1,,127,7,13,3,2,3,2,436283
2007,16,868,14,9,7,3,1,1,2,2,1,,127,17,6,3,2,3,2,327433
2006,11,93,3,6,3,3,1,1,,1,4,123,181,14,30,4,3,3,1,248672
2007,16,1928,14,24,7,3,1,1,2,2,1,,127,6,18,3,2,3,2,522123
2006,11,93,3,4,3,3,1,1,,1,4,123,181,17,1,4,3,3,1,255752
2006,11,93,3,4,3,3,1,1,,1,4,123,181,26,20,4,3,3,1,247787
2007,16,1387,14,4,7,3,1,1,2,2,1,,127,26,14,3,2,3,2,42923
2007,16,868,14,13,7,3,1,1,2,2,1,,127,20,15,3,2,3,2,35442
2007,16,1519,14,8,7,3,1,1,2,2,1,,127,2,1,3,2,3,2,46926
1986,27,1131,8,5,7,5,,1,1,1,4,713,,18,30,3,1,1,1,272123
2015,1,644,5,13,6,3,1,2,,1,7,12,4,14,25,3,3,3,2,278761
1978,4,93,1,7,2,3,1,2,,1,3,87,,19,23,3,3,3,2,2238
1986,27,914,8,1,7,5,,1,1,1,4,713,,4,14,3,1,1,1,237168
1978,4,93,1,12,2,3,1,2,,1,3,87,,25,5,3,3,3,2,222123
2007,16,868,14,2,7,3,1,1,2,2,1,,127,29,23,3,2,3,2,331858
1978,4,93,1,1,2,3,1,2,,1,3,87,,24,26,3,3,3,2,212389
2009,5,91,2,4,1,2,,1,1,,5,25,23,28,26,2,1,1,1,26926
2009,5,91,2,2,1,2,,1,1,,5,25,23,23,25,2,1,1,1,274336
2009,5,914,2,7,1,2,,1,1,,5,25,23,12,15,2,1,1,1,2823
2009,5,91,2,4,1,2,,1,1,,5,25,23,7,3,2,1,1,1,269911
2013,14,97,6,1,7,5,1,1,1,1,7,8,93,12,30,4,2,2,3,36926
2013,14,91,6,12,7,5,1,1,1,1,7,8,93,15,27,4,2,2,3,371681
2013,14,91,6,4,7,5,1,1,1,1,7,8,93,11,16,4,2,2,3,352212
2013,14,91,6,9,7,5,1,1,1,1,7,8,93,29,23,4,2,2,3,377876
2013,14,91,6,2,7,5,1,1,1,1,7,8,93,5,18,4,2,2,3,353982
1985,2,498,2,4,1,5,1,1,1,2,3,8,76,27,27,2,1,1,,73451
1985,2,587,2,5,1,5,1,1,1,2,3,8,76,21,12,2,1,1,,11544
2014,,156,4,17,1,4,,1,,,1,,218,11,8,,,,1,6176
2007,5,169,5,5,2,4,1,1,1,2,5,7,65,27,26,2,1,1,1,455752
2015,24,91,8,13,13,1,1,1,1,2,1,175,1321,9,3,2,1,1,1,39469
2006,11,818,5,21,6,1,1,1,,,5,249,536,27,25,2,1,2,2,28761
2006,11,818,5,17,6,1,1,1,,,5,249,536,13,26,2,1,2,2,28938
2006,11,818,5,3,6,1,1,1,,,5,249,536,17,22,2,1,2,2,265486
2015,24,644,8,22,13,1,1,1,1,2,1,175,1321,4,18,2,1,1,1,256637
2015,24,644,8,8,13,1,1,1,1,2,1,175,1321,7,15,2,1,1,1,269911
2006,11,1743,5,2,6,1,1,1,,,5,249,536,19,29,2,1,2,2,453982
2015,24,644,8,16,13,1,1,1,1,2,1,175,1321,18,28,2,1,1,1,29115
2015,24,644,8,24,13,1,1,1,1,2,1,175,1321,1,22,2,1,1,1,279646
2014,2,914,7,1,1,7,1,1,,,9,9,1174,20,4,4,5,3,5,336283
2014,2,1291,7,3,1,7,1,1,,,9,9,1174,28,4,4,5,3,5,463716
2005,,914,6,1,8,5,1,2,,,7,67,798,12,5,3,4,4,4,252212
2008,14,829,6,9,6,3,1,1,1,1,8,197,475,3,30,2,2,3,2,29265
1992,8,644,4,19,3,5,1,1,,1,3,142,79,27,24,3,4,3,4,154159
2014,2,846,7,17,1,7,1,1,,,9,9,1174,10,25,4,5,3,5,33973
1992,1,355,5,13,3,7,1,1,1,1,3,2,,9,20,4,5,3,5,77876
1993,2,644,8,9,8,6,1,2,,,4,523,536,18,6,4,5,3,5,183628
2014,2,64,7,16,1,7,1,1,,,9,9,1174,1,26,4,5,3,5,267256
2005,,572,6,14,8,5,1,2,,,7,67,798,21,18,3,4,4,4,27964
1993,2,914,8,24,8,6,1,2,,,4,523,536,1,18,4,5,3,5,243362
1992,1,576,5,2,3,7,1,1,1,1,3,2,,24,15,4,5,3,5,8584
2005,,572,6,6,8,5,1,2,,,7,67,798,30,6,3,4,4,4,212389
1992,1,355,5,7,3,7,1,1,1,1,3,2,,25,8,4,5,3,5,81415
2007,1,113,5,6,3,2,2,2,1,2,4,554,524,24,23,2,2,2,2,314159
1993,2,914,8,8,8,6,1,2,,,4,523,536,20,15,4,5,3,5,231858
2014,2,97,7,1,1,7,1,1,,,9,9,1174,6,7,4,5,3,5,3388
2014,2,91,7,27,1,7,1,1,,,9,9,1174,26,18,4,5,3,5,334513
2014,12,914,5,21,5,,,,,,1,467,23,21,25,,,,,36461
1992,8,644,4,1,3,5,1,1,,1,3,142,79,29,4,3,4,3,4,16161
1992,8,644,4,18,3,5,1,1,,1,3,142,79,19,29,3,4,3,4,159292
2014,2,914,7,14,1,7,1,1,,,9,9,1174,1,19,4,5,3,5,349557
2014,2,846,7,1,1,7,1,1,,,9,9,1174,19,18,4,5,3,5,3884
2014,2,914,7,29,1,7,1,1,,,9,9,1174,2,30,4,5,3,5,34115
2008,14,914,6,19,6,3,1,1,1,1,8,197,475,15,8,2,2,3,2,331415
2014,2,644,7,19,1,7,1,1,,,9,9,1174,9,11,4,5,3,5,265486
2005,,914,6,11,8,5,1,2,,,7,67,798,19,12,3,4,4,4,271681
2007,1,113,5,7,3,2,2,2,1,2,4,554,524,21,1,2,2,2,2,324778
2005,,914,6,18,8,5,1,2,,,7,67,798,26,0,3,4,4,4,272566
2014,2,644,7,24,1,7,1,1,,,9,9,1174,14,18,4,5,3,5,268141
2007,16,868,14,8,7,3,1,1,2,2,1,,127,22,23,3,2,3,2,345132
2007,16,868,14,19,7,3,1,1,2,2,1,,127,15,0,3,2,3,2,362831
1986,27,914,8,11,7,5,,1,1,1,4,713,,27,19,3,1,1,1,238938
2007,16,1519,14,18,7,3,1,1,2,2,1,,127,10,4,3,2,3,2,484955
1986,27,1131,8,1,7,5,,1,1,1,4,713,,15,19,3,1,1,1,247787
1986,27,1131,8,5,7,5,,1,1,1,4,713,,29,4,3,1,1,1,267247
1997,4,558,2,2,1,7,1,1,1,2,5,82,56,15,8,4,,,3,128318
2009,5,91,2,12,1,2,,1,1,,5,25,23,17,2,2,1,1,1,295575
2009,5,91,2,9,1,2,,1,1,,5,25,23,11,2,2,1,1,1,28761
2013,14,644,6,9,7,5,1,1,1,1,7,8,93,14,3,4,2,2,3,26461
2006,,91,3,19,3,2,1,1,,1,5,111,184,18,18,3,2,2,2,31161
1985,2,587,2,6,1,5,1,1,1,2,3,8,76,27,17,2,1,1,,134513
2007,5,1483,5,22,2,4,1,1,1,2,5,7,65,17,25,2,1,1,1,4539
1986,2,91,1,5,1,5,1,1,1,2,3,1,18,26,11,6,3,2,2,154867
2015,24,91,8,13,13,1,1,1,1,2,1,175,1321,17,18,2,1,1,1,386725
2015,24,644,8,21,13,1,1,1,1,2,1,175,1321,30,30,2,1,1,1,28761
2015,24,644,8,12,13,1,1,1,1,2,1,175,1321,26,6,2,1,1,1,28761
2015,24,91,8,4,13,1,1,1,1,2,1,175,1321,22,6,2,1,1,1,371681
2015,24,91,8,13,13,1,1,1,1,2,1,175,1321,30,27,2,1,1,1,336283
2015,24,91,8,13,13,1,1,1,1,2,1,175,1321,11,19,2,1,1,1,329646
2015,24,91,8,25,13,1,1,1,1,2,1,175,1321,27,7,2,1,1,1,39469
2015,24,644,8,34,13,1,1,1,1,2,1,175,1321,25,21,2,1,1,1,29646
2008,14,914,6,12,6,3,1,1,1,1,8,197,475,13,20,2,2,3,2,3388
1992,8,644,4,1,3,5,1,1,,1,3,142,79,23,30,3,4,3,4,137168
1993,2,914,8,14,8,6,1,2,,,4,523,536,11,1,4,5,3,5,252212
1993,2,2337,8,21,8,6,1,2,,,4,523,536,29,2,4,5,3,5,353982
1992,1,576,5,11,3,7,1,1,1,1,3,2,,19,5,4,5,3,5,121238
2014,2,97,7,17,1,7,1,1,,,9,9,1174,23,26,4,5,3,5,3477
2014,2,64,7,16,1,7,1,1,,,9,9,1174,1,4,4,5,3,5,265486
2007,1,914,5,29,3,2,2,2,1,2,4,554,524,2,1,2,2,2,2,3539
2008,14,829,6,14,6,3,1,1,1,1,8,197,475,23,18,2,2,3,2,284955
2005,,572,6,19,8,5,1,2,,,7,67,798,6,17,3,4,4,4,19385
2014,12,914,5,18,5,,,,,,1,467,23,16,0,,,,,366371
2014,12,914,5,19,5,,,,,,1,467,23,14,8,,,,,371681
2007,1,1366,5,13,3,2,2,2,1,2,4,554,524,1,13,2,2,2,2,49734
2005,,914,6,2,8,5,1,2,,,7,67,798,14,3,3,4,4,4,262831
2014,2,64,7,11,1,7,1,1,,,9,9,1174,14,12,4,5,3,5,265486
2014,,273,3,16,1,3,1,1,1,2,2,11,18,15,16,2,2,2,2,847
2014,12,914,5,4,5,,,,,,1,467,23,27,21,,,,,3477
2014,2,64,7,11,1,7,1,1,,,9,9,1174,5,5,4,5,3,5,268141
2007,16,868,14,8,7,3,1,1,2,2,1,,127,22,28,3,2,3,2,338938
2007,16,1643,14,31,7,3,1,1,2,2,1,,127,3,12,3,2,3,2,495575
2007,16,1643,14,36,7,3,1,1,2,2,1,,127,9,17,3,2,3,2,526548
2006,11,93,3,8,3,3,1,1,,1,4,123,181,12,6,4,3,3,1,283185
2007,16,868,14,1,7,3,1,1,2,2,1,,127,3,20,3,2,3,2,336283
1978,4,93,1,2,2,3,1,2,,1,3,87,,11,12,3,3,3,2,212389
1978,4,779,1,1,2,3,1,2,,1,3,87,,10,13,3,3,3,2,19646
2007,16,1387,14,23,7,3,1,1,2,2,1,,127,26,13,3,2,3,2,46176
2013,14,644,6,18,7,5,1,1,1,1,7,8,93,11,29,4,2,2,3,265486
2006,,811,3,7,3,2,1,1,,1,5,111,184,22,29,3,2,2,2,247787
2006,11,256,5,2,6,1,1,1,,,5,249,536,1,30,2,1,2,2,46926
2006,11,818,5,2,6,1,1,1,,,5,249,536,21,12,2,1,2,2,284955
2015,24,91,8,11,13,1,1,1,1,2,1,175,1321,28,12,2,1,1,1,317699
2006,11,914,5,2,6,1,1,1,,,5,249,536,20,30,2,1,2,2,318584
1992,8,914,4,16,3,5,1,1,,1,3,142,79,17,25,3,4,3,4,212389
1992,1,64,5,15,3,7,1,1,1,1,3,2,,0,11,4,5,3,5,119469
2008,14,829,6,12,6,3,1,1,1,1,8,197,475,17,17,2,2,3,2,29235
2014,2,644,7,28,1,7,1,1,,,9,9,1174,28,30,4,5,3,5,263716
1992,1,576,5,11,3,7,1,1,1,1,3,2,,4,21,4,5,3,5,121238
1992,8,914,4,5,3,5,1,1,,1,3,142,79,11,27,3,4,3,4,18584
2014,,288,3,8,1,3,1,1,1,2,2,11,18,14,9,2,2,2,2,1539
2005,,572,6,6,8,5,1,2,,,7,67,798,8,23,3,4,4,4,22654
1992,8,644,4,7,3,5,1,1,,1,3,142,79,24,9,3,4,3,4,154867
2014,12,914,5,29,5,,,,,,1,467,23,18,2,,,,,362566
2005,,1184,6,7,8,5,1,2,,,7,67,798,2,28,3,4,4,4,32353
2014,,213,3,15,1,3,1,1,1,2,2,11,18,20,12,2,2,2,2,74955
2008,14,914,6,19,6,3,1,1,1,1,8,197,475,30,26,2,2,3,2,331858
2014,2,914,7,23,1,7,1,1,,,9,9,1174,12,2,4,5,3,5,345132
2005,,1184,6,6,8,5,1,2,,,7,67,798,0,7,3,4,4,4,3238
2007,16,1643,14,11,7,3,1,1,2,2,1,,127,2,14,3,2,3,2,451327
2015,1,839,5,14,6,3,1,2,,1,7,12,4,13,14,3,3,3,2,336283
2007,16,1928,14,33,7,3,1,1,2,2,1,,127,7,29,3,2,3,2,56461
1997,4,644,2,9,1,7,1,1,1,2,5,82,56,24,15,4,,,3,17461
2009,5,91,2,14,1,2,,1,1,,5,25,23,8,17,2,1,1,1,29469
